id,下个对话组首句闲聊,"对话内容
支持随机对话内容",接取1个任务对话,接取2个任务对话,接取3个任务对话。,是否气泡,对话选项数量,对话选项1,对话选项1跳转对话ID,任务标记1,关联任务1,对话选项2,对话选项2跳转对话ID,任务标记2,关联任务2,对话选项3,对话选项3跳转对话ID,任务标记3,关联任务3
id,nextTalkTeam,content,accept1TaskTalk,accept2TaskTalk,accept3TaskTalk,isBubble,talkOptionNum,option1,toTalkId1,taskMark1,linkTask1,option2,toTalkId2,taskMark2,linkTask2,option3,toTalkId3,taskMark3,linkTask3
int,int,string[],string[],string[],string[],int,int,string[],int,int,int,string[],int,int,int,string[],int,int,int
100101,200101,啊，亲爱的玩家，您终于来了，法尔正在为周围杂乱的麦子和到处乱跑的姑姑鸡而烦恼呢，能请您帮忙清理下吗？,怎么样？{var0=task1}的事您已经搞定了吗？还是说您想把另一件事也一并搞定！,亲爱的玩家，您已经完成了{var0=task1}和{var1=task2}两个任务了吗？,nothing,0,3,咕咕鸡？,100102,2,1050,麦子？,100201,2,1051,和我没关系。,100301,0,0
100102,,就是那些到处乱晃的咕咕鸡了，您应该看到它们了吧。请减少一下它们的数量吧，5个就够了。,,,close,0,2,"好的。,交给我吧！",100103,1,1050,"不好。,我没时间！",100202,0,0,,,,
100103,,"实在太感谢您啦，
我亲爱的客人，{var0=playername}。",,,,1,,,,,,,,,,,,,
100201,,就是麦子呀，稍微转转您就会发现它们了，可以请您至少帮忙收割10株麦子吗？,,,,0,2,"没问题,小意思",100103,1,1051,"我做不到,不要,我很忙的",100202,0,0,,,,
100202,,这样啊，那法尔就只好请求 别人帮忙了。不过还是感谢客人聆听法尔的烦恼。,,,,1,,,,,,,,,,,,,
100301,,既然您这样认为，那法尔就不强求您了。,啊，可是您已经答应过我了的。,"哼，明明就和您有关系的！
您现在却要否认吗？",,1,,,,,,,,,,,,,
200101,300101,{var0=playername}，非常感谢您的帮忙，为了表示感谢。我就透露给您一个消息吧！在麦浪湖的南边有一些湖鸭。它们是很美味的食物呢。,怎么样，我提供的湖鸭消息很棒吧！,0,0,0,2,"是个好消息,那可真棒！",200102,2,1052,没兴趣呢。,200201,0,0,,,,
200102,,怎么样？去击败3个湖鸭获取美味的鸭肉吧。,,,,0,2,好的。,200103,1,1052,还是算了吧。,200202,,,,,,
200103,,祝您成功。,,,,1,,,,,,,,,,,,,
200201,,啊，走掉了。,,,,1,,,,,,,,,,,,,
200202,,看来您兴趣不大。,,,,1,,,,,,,,,,,,,
300101,400101,经常有野猪跑来毁坏庄稼呢。真是令人烦恼啊。客人您应该也有看到那些野猪吧？,怎么样？您已经搞定那些野猪了吗？,,,0,2,确实有看到!,300102,2,1053,不，我没看到过!,300201,0,0,,,,
300102,,那您应该看到它们毁坏公司实验用的庄稼了吧。能不能请您去消灭5只野猪呢？,,,,0,2,好的，没问题。,300103,1,1053,我打不过。,300202,,,,,,
300103,,感激不尽！,,,,1,,,,,,,,,,,,,
300201,,哼，您肯定在骗人，不理你了！,那些猪就在麦浪湖附近活动。您再找找看吧。,,,1,,,,,,,,,,,,,
300202,,"您要更有自信才行哦！
等您准备好了，再来找我吧！",,,,1,,,,,,,,,,,,,
400101,500101,能打过那些野猪，已经是一种强大的证明了，您可以尝试去鬼哭森林采集大量的资源了哦！,结果如何？还是说需要我指点你一下。,我猜您已经收获颇丰了吧！,noting,0,3,鬼哭森林？,400102,2,1054,采集资源？,400201,2,1055,不要，我怕怕！,400301,0,0
400102,,对，鬼哭森林，几乎环绕了整个麦浪平原，不过我建议您往北面走，那里资源丰富，可以去先踩下点。,,,,0,2,那我走了。,400103,1,1054,等等再说。,400202,0,0,,,,
400103,,好的，路上小心，其实我觉得您可以尝试一并采集资源的。,,,,1,,,,,,,,,,,,,
400104,,开心o(*￣▽￣*)ブ！,,,,1,,,,,,,,,,,,,
400201,,对啊，开采资源是非常重要的活动哦，如果方便的话请您顺便采集5朵思索花送给我吧。法尔会很开心的。,,,,0,2,"好啊！,一定带给你。",400104,1,1055,想要自己采去！,400203,0,0,,,,
400202,,也行，三思后行是好习惯呢。,,,,1,,,,,,,,,,,,,
400203,,Σ(っ °Д °;)っ。你你你！你个坏蛋。哼！,,,,1,,,,,,,,,,,,,
400301,,"您好有趣啊！,哈哈，看我吃掉你。┗|｀O′|┛ 嗷~~！",,,,1,,,,,,,,,,,,,
500101,600101,想必你在探索鬼哭森林的过程中已经遭遇过那些源码伐木机和源码守卫了吧？{var0=playername}!,{var0=playername}，{var0=task1}的任务如何啦？难道想一起搞定?,都搞定了吗？源码伐木机和源码守卫的核心？,nothing,0,3,源码伐木机？,500102,2,1056,源码守卫？,500201,2,1057,苗头不对，溜了溜了！,500301,,
