流水,类型,信息ID,名称,备注,类型,图标资源,标题1,描述1,标题2,描述2,标题3,描述3,标题4,描述4,标题5,描述5
id,type,infoId,name,null,infoType,infoIcon,infoTitle1,infoDescribe1,infoTitle2,infoDescribe2,infoTitle3,infoDescribe3,infoTitle4,infoDescribe4,infoTitle5,infoDescribe5
int,int,int,string,null,string,string,string,string,string,string,string,string,string,string,string,string
1,2,3091001,青草,青草,植物,icon_plant,科：,禾本科,属：,多种,种：,多种,说明,泛指禾本科草本植物；常为莎草科和灯芯草科单子叶植物。,掉落,纤维
4,2,3091004,双生白花,双生白花,植物,icon_plant,科：,芸香科,属：,九里香,种：,九里香,说明,双生白花的灵感来源于两朵长在一起的九里香，暂时没有具体功用。（现实中九里香可行气活血；散瘀止痛；解毒消肿哦）,掉落,纤维
6,2,3091006,蓝色蘑菇,小蘑菇,植物,icon_plant,科：,粉褶菌科,属：,粉褶菌科,种：,霍氏粉褶菌（天蓝蘑菇）,说明,参考自现实生活中的天蓝蘑菇。虽然天蓝蘑菇确实不可食用，但是是否有毒还存争议，不过在野外还是不要乱吃蘑菇哦。,掉落,暂无
12,2,3091012,绿草,绿草,植物,icon_plant,科：,禾本科,属：,多种,种：,多种,说明,一般由禾本科草本植物构成；常为莎草科和灯芯草科单子叶植物。,掉落,纤维
,2,3091101,椰子树,椰子树,植物,icon_plant,科:,棕榈科,属:,椰子属,种:,椰子树,说明,椰子为热带喜光作物，在高温、多雨、阳光充足和海风吹拂的条件下生长发育良好。,掉落,原木、纤维、椰子
15,2,3092001,小沙棕,小沙棕,植物,icon_plant,科：,棕榈科,属：,叉干棕属,种：,叉干棕,说明,沙棕来源于现实中的叉干棕，它可以在现实世界的撒哈拉沙漠存活；形态特殊，树冠硕大，耐旱性强。,掉落,纤维
18,2,3092004,大沙棕,大沙棕,植物,icon_plant,科：,棕榈科,属：,叉干棕属,种：,叉干棕,说明,沙棕来源于现实中的叉干棕，它可以在现实世界的撒哈拉沙漠存活；形态特殊，树冠硕大，耐旱性强。,掉落,纤维、原木
19,2,3092005,枯黄草,枯草,植物,icon_plant,科：,禾本科,属：,多种,种：,多种,说明,一般由枯死的禾本科草本植物构成，常为莎草科和灯芯草科单子叶植物。,掉落,纤维
23,2,3093003,雪原草,雪原草,植物,icon_plant,科：,禾本科,属：,草,种：,草,说明,一般由禾本科草本植物构成；常为莎草科和灯芯草科单子叶植物。,掉落,暂无
25,2,3093005,冰瑚,大冰瑚,植物,icon_plant,科：,苍珊瑚科,属：,苍珊瑚属,种：,冰瑚,说明,由于是蓝色的，所以采用了俗名蓝珊瑚的科属。现实中的冰珊瑚是珊瑚结冰后的样子，也很美哦。,掉落,暂无
26,2,3093006,小雪杉,小雪杉,植物,icon_plant,科：,松科,属：,雪松数,种：,小雪杉,说明,来源于现实中的雪松，因为其形状常被误称为雪杉。其实松科植物哦。,掉落,暂无
27,2,3093007,冰晶树,冰晶树,植物,icon_plant,科：,不明,属：,不明,种：,不明,说明,似乎是冰块在源码能量的作用下形成的树，具体来源不明。,掉落,不明
29,2,3093009,冰晶结晶,冰晶结晶,矿物,icon_mineral,释义：,不明,形成过程：,不明,成分：,冰、源码晶体,说明,似乎是冰块在源码能量的作用下形成的树，具体来源不明。,掉落,不明
30,2,3093010,雪原枯树,雪原枯树（直）,植物,icon_plant,科：,杨柳科,属：,杨属,种：,雪原枯树,说明,提起枯树，就不免想到枯死的胡杨林。虽然胡杨是生长在沙漠，但是胡杨顽强抗争的精神应该传遍世界。,掉落,原木、雪块
31,2,3093011,雪地原石,雪地原石,矿物,icon_mineral,释义：,形状不定的矿物质凝结物,形成过程：,一般指由大岩体遇外力而脱落下来的小型岩体，多依附于大岩体表面，一般成块状或椭圆形，外表有的粗糙，有的光滑，质地坚固、脆硬。,成分：,二氧化硅、碳酸钙,说明,原型为石头，可用来制造石器，采集石矿。在几千年前，我们的祖先就是用石头来生火。,掉落,石头、煤、硫磺、雪块
32,2,3094001,思索花,思索花,植物,icon_plant,科：,石蒜科,属：,水仙属,种：,思索花,说明,原型为水仙花，又名中国水仙，是多花水仙的一个变种。在中国已有一千多年栽培历史，为传统观赏花卉，是中国十大名花。,掉落,纤维、思索花花瓣、思索花种子
33,2,3094002,星辰花,星辰花,植物,icon_plant,科：,紫草科,属：,勿忘草属,种：,星辰花,说明,原型为勿忘我，多年生草本，适应力强，花语是永恒的爱，浓情厚谊，永不变的心，永远的回忆。,掉落,纤维、星辰花花瓣、星辰花种子。
34,2,3094003,紫色天国,紫色天国,植物,icon_plant,科：,杜鹃花科,属：,欧石楠属,种：,紫色天国,说明,原型为欧石楠，挪威的国花-帚石楠，俗名苏格兰石楠，有一个美丽的译名——艾莉卡。花语是孤独、背叛。,掉落,纤维、紫色天国花瓣、紫色天国种子。
35,2,3094004,红桃皇后,红桃皇后,植物,icon_plant,科：,蔷薇亚科,属：,蔷薇亚属,种：,红桃皇后,说明,原型为玫瑰花，玫瑰原产于中国，栽培历史悠久。是重要的香料植物。玫瑰在中国古代文学里象征刺客。,掉落,纤维、红桃皇后叶
36,2,3094005,德馨花,德馨花,植物,icon_plant,科：,石竹科,属：,石竹属,种：,德馨花,说明,原型为康乃馨，康乃馨原名其实是香石竹。花语大部分情况下是爱，魅力和尊敬之情。,掉落,纤维、德馨花花瓣、德馨花种子。
37,2,3094006,空心,空心,植物,icon_plant,科：,苋科,属：,莲子草属,种：,空心,说明,原型为空心莲子草，原产巴西，生在池沼、水沟内。全草入药，有清热利水、凉血解毒作用; 可作饲料。,掉落,纤维、空心花瓣、空心种子。
38,2,3094007,黄芯,黄芯,植物,icon_plant,科：,菊科,属：,狗娃花属,种：,黄芯,说明,原型为狗娃花，狗娃花生长于海拔2400米的荒地、路旁、林缘及草地。狗娃花根入药，能解毒消肿，治疮肿、蛇咬。,掉落,纤维、黄芯花瓣、黄芯种子。
39,2,3094008,小雪球,小雪球,植物,icon_plant,科：,菊科,属：,蒲公英属,种：,小雪球,说明,原型为蒲公英，广泛生于中、低海拔地区的山坡草地、路边、田野、河滩。可吃可入药，花语是“无法停留的爱”。,掉落,纤维、小雪球花瓣、小雪球种子。
40,2,3094009,银剑菊,银剑菊,植物,icon_plant,科：,不明,属：,不明,种：,银剑菊,说明,生长在夏威夷茂宜岛上的哈雷卡拉火山国家公园上的世界珍稀植物夏威夷银剑菊。一生只开一次花。被称为大自然最奇特的花。,掉落,银剑菊叶片
41,2,3094010,魔鬼花,魔鬼花,植物,icon_plant,科：,豆科,属：,澳洲沙漠豆,种：,魔鬼花,说明,"原型为澳洲沙漠豆花，又名“斯特尔特沙漠豌豆"" (Sturt's Desert Pea)。原产于澳洲的干旱地区，是澳大利亚最知名的野花之一。花朵奇特，观赏价值高。",掉落,纤维、魔鬼花叶
42,2,3094011,狼毫草,狼嚎草,植物,icon_plant,科：,黍亚科,属：,狗尾草属,种：,狼毫草,说明,原型为狗尾草，其秆、叶可作饲料，也可入药，治痈瘀、面癣；全草加水煮沸20分钟后，滤出液可喷杀菜虫；小穗可提炼糠醛。,掉落,纤维、狼毫草花瓣、狼毫草种子。
44,2,3094013,龙爪草,龙爪草,植物,icon_plant,科：,画眉草亚科,属：,穇(cǎn)属,种：,龙爪草,说明,原型为牛筋草，全草药用。性味：甘、淡，平。祛风利湿，清热解毒，散瘀止血。 ,掉落,纤维、龙爪草叶
