NPCid,NPC名字1,"NPC所属地图

2.刷出npc",NPC位置1,NPC场景备注,NPC闲聊对话ID,NPC半身像资源,npcAvatar,NPC类型,大地图是否展示NPC,NPC默认对话
id,npcName,npcMap,location,NPCsceneRemark,chatDialogID,halfAvatar,npcAvatar,Npctype,ifNpcShow,defaultDialog
int,string,int,int[],string,int,string,string,string,bool,string[]
10037,墓碑,2,,,,,4070157,2,1,墓碑上写着：在这个世界，我藏了许多神秘宝藏，那是我的遗产，有缘之人自会寻得
10038,墓碑,2,,,,,4070157,2,1,墓碑上写着：生命不是永恒的赠品，死亡终究是人生必经的过程，但在我心底你从未离开……
10039,墓碑,2,,,,,4070157,2,1,墓碑上写着：这里安息着一位善良、宽容、仁爱、无私并且极有骨气的母亲。她坚强地走完了平凡又伟大的一生，把自己的美德永远地留给了后人
10040,墓碑,2,,,,,4070157,2,1,"墓碑上写着：此人一生碌碌为无,事业无大成就,但是爱家庭,是父母的好儿子,妻子的好丈夫,孩子的好父亲。他的一生都献给了他挚爱的人,他没有后悔过,他没有抱怨过"
10041,墓碑,2,,,0,,4070157,2,1,墓碑上写着：我这个人没有多少优点，如果说有那么一点的话，那就是做事比较认真。一件事情，要么不做，做就要尽力把它做好
10042,墓碑,2,,,0,,4070157,2,1,墓碑上写着：他满足了自己的好奇，包括躺在这里的失败者
10043,墓碑,2,,,0,,4070157,2,1,墓碑上写着：合影留念5金币一位，带花带酒免费
10044,墓碑,2,,,,,4070157,2,1,墓碑上写着：如果你看见这行字，证明你踩到我了。
10045,墓碑,2,,,,,4070157,2,1,墓碑上写着：这里躺着一位无神论者，盛装打扮，但是无处可去。
10046,墓碑,2,,,,,4070157,2,1,墓碑上写着：走开，我在睡觉。
10047,墓碑,2,,,,,4070157,2,1,墓碑上写着：跟你说过我生病了。
10048,墓碑,2,,,,,4070157,2,1,墓碑上写着：我这里三缺一，就差你了！
10049,墓碑,2,,,,,4070157,2,1,墓碑上写着：我曾经象你们一样，你们总有一天也会象我一样
10050,墓碑,2,,,,,4070157,2,1,墓碑上写着：别老盯着我的房子，你也会有一间的！
10051,墓碑,2,,,,,4070157,2,1,墓碑上写着：终于可以失掉身体80%的水分，可以变瘦了！
10052,墓碑,2,,,,,4070157,2,1,"墓碑上写着：牧师，帮我复活一下下，谢谢，坐标是：-145,755"
10062,告示牌,2,,,,,4101001,2,1,往南走就是寒冷冰原，往北走过桥将会到达冰火群岛，那里有危险的生物和稀有的资源---冒险者公会
10063,神秘能量柱,2,"836,1684",,,,4107003,2,1,柱子上闪耀着刺眼的能量光芒，似乎给它什么东西就可以激活这些能量
10064,告示牌,2,,,,,4104001,2,1,听说若干年以前，脚下这片土地曾经有一座宏伟的城池，如今只剩一片断垣残壁；残壁上还写了这片大陆上随处可见的符文，我还未明白其含义----一位热爱研究的冒险者
10065,巨大能量柱,2,"607,1575",,(巨大能量柱中间夹着一颗源码能量核心，看上去可以提供巨大的能量),,4084012,2,1,滋滋滋滋~~(靠近后耳朵里传来未知的杂音)
10120,法尔(活泼芯),2,"-131,1043",麦浪平原,3000100,FaEr,FaEr,1,1,当你完成了所有对话，我就会告诉你我的真正身份，然而你应该永远都看不到这句话。除非这个世界出bug了。
10121,浮沉法尔,2,"152,1456",浮沉沙漠,3000201,FaEr,FaEr,1,1,当你完成了所有对话，我就会告诉你我的真正身份，然而你应该永远都看不到这句话。除非这个世界出bug了。
10122,古城法尔,2,"624,1573",源码古城,3000201,FaEr,FaEr,1,1,当你完成了所有对话，我就会告诉你我的真正身份，然而你应该永远都看不到这句话。除非这个世界出bug了。
10123,法尔(忠诚芯),2,"839,2015",狗头人平原,3055100,FaEr,FaEr,1,1,当你完成了所有对话，我就会告诉你我的真正身份，然而你应该永远都看不到这句话。除非这个世界出bug了。
10124,围火岛法尔,2,"1147,2441",围火岛,3000201,FaEr,FaEr,1,1,当你完成了所有对话，我就会告诉你我的真正身份，然而你应该永远都看不到这句话。除非这个世界出bug了。
10125,弯弓法尔,2,"875,1518",弯弓半岛,3000201,FaEr,FaEr,1,1,当你完成了所有对话，我就会告诉你我的真正身份，然而你应该永远都看不到这句话。除非这个世界出bug了。
10126,法尔(领袖芯),2,"1509,2026",海湾平原,3065100,FaEr,FaEr,1,1,当你完成了所有对话，我就会告诉你我的真正身份，然而你应该永远都看不到这句话。除非这个世界出bug了。
10127,成就型法尔,2,"1498,1763",飞箭平原,3000201,FaEr,FaEr,1,1,当你完成了所有对话，我就会告诉你我的真正身份，然而你应该永远都看不到这句话。除非这个世界出bug了。
10128,北风法尔,2,"694,880",北风平原,3000201,FaEr,FaEr,1,1,当你完成了所有对话，我就会告诉你我的真正身份，然而你应该永远都看不到这句话。除非这个世界出bug了。
10129,法尔(和平芯),2,"240,445",世外平原,3073100,FaEr,FaEr,1,1,当你完成了所有对话，我就会告诉你我的真正身份，然而你应该永远都看不到这句话。除非这个世界出bug了。
10130,冰原法尔,2,"36,600",人面冰原,3000201,FaEr,FaEr,1,1,当你完成了所有对话，我就会告诉你我的真正身份，然而你应该永远都看不到这句话。除非这个世界出bug了。
10131,法尔(成就芯),2,"344,2344",稻香平原,3049100,FaEr,FaEr,1,1,当你完成了所有对话，我就会告诉你我的真正身份，然而你应该永远都看不到这句话。除非这个世界出bug了。
10132,双湖法尔,2,"385,2011",双湖沼泽,3000201,FaEr,FaEr,1,1,当你完成了所有对话，我就会告诉你我的真正身份，然而你应该永远都看不到这句话。除非这个世界出bug了。
10133,密林法尔,2,"126,2191",密林火山,3000201,FaEr,FaEr,1,1,当你完成了所有对话，我就会告诉你我的真正身份，然而你应该永远都看不到这句话。除非这个世界出bug了。
10134,法尔(助人芯),2,"-583,1422",河口平原,3009100,FaEr,FaEr,1,1,当你完成了所有对话，我就会告诉你我的真正身份，然而你应该永远都看不到这句话。除非这个世界出bug了。
10135,山脉法尔,2,"-404,1999",环形山脉,3000201,FaEr,FaEr,1,1,当你完成了所有对话，我就会告诉你我的真正身份，然而你应该永远都看不到这句话。除非这个世界出bug了。
10136,冰口法尔,2,"-1197,1654",冰口峡谷,3000201,FaEr,FaEr,1,1,当你完成了所有对话，我就会告诉你我的真正身份，然而你应该永远都看不到这句话。除非这个世界出bug了。
10137,法尔(完美芯),2,"-964,1568",秃鹫平原,3021100,FaEr,FaEr,1,1,当你完成了所有对话，我就会告诉你我的真正身份，然而你应该永远都看不到这句话。除非这个世界出bug了。
10138,法尔(智慧芯),2,"-568,2332",迪迪岛,3029100,FaEr,FaEr,1,1,当你完成了所有对话，我就会告诉你我的真正身份，然而你应该永远都看不到这句话。除非这个世界出bug了。
10139,魔鬼法尔,2,"-201,2501",魔鬼沙漠,3000201,FaEr,FaEr,1,1,当你完成了所有对话，我就会告诉你我的真正身份，然而你应该永远都看不到这句话。除非这个世界出bug了。
10140,法尔(艺术芯),2,"120,2948",大湖平原,3039100,FaEr,FaEr,1,1,当你完成了所有对话，我就会告诉你我的真正身份，然而你应该永远都看不到这句话。除非这个世界出bug了。
10141,寂灭法尔,2,"321,2784",寂灭山脉,3000201,FaEr,FaEr,1,1,当你完成了所有对话，我就会告诉你我的真正身份，然而你应该永远都看不到这句话。除非这个世界出bug了。
10142,指路牌,2,,,,,4104001,2,1,往北前往鬼哭森林，一路顺风
10143,告示牌,2,,,,,4105004,2,1,暂无公告
